indicator,País__ESTANDAR,Sexo,Grupos quinquenales de edad,Años__ESTANDAR,value,unit,notes_ids,source_id
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,55-59,2020,"147,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,55-59,2025,"152,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,60-64,2020,"123,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,60-64,2025,"143,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,65-69,2020,"95,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,65-69,2025,"118,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,70-74,2020,"72,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,70-74,2025,"89,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,75-79,2020,"51,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,75-79,2025,"64,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,80-84,2020,"34,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,80-84,2025,"41,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,85-89,2020,"18,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,85-89,2025,"22,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,90-94,2020,"6,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,90-94,2025,"8,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,95-99,2020,"1,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,95-99,2025,"1,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,100 y más,2020,"0,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Costa Rica,Mujeres,100 y más,2025,"0,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,0-4,2020,"252,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,0-4,2025,"239,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,5-9,2020,"271,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,5-9,2025,"249,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,10-14,2020,"272,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,10-14,2025,"269,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,15-19,2020,"294,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,15-19,2025,"267,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,20-24,2020,"324,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,20-24,2025,"283,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,25-29,2020,"289,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,25-29,2025,"311,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,30-34,2020,"234,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,30-34,2025,"279,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,35-39,2020,"212,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,35-39,2025,"226,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,40-44,2020,"212,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,40-44,2025,"206,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,45-49,2020,"191,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,45-49,2025,"206,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,50-54,2020,"171,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,50-54,2025,"185,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,55-59,2020,"145,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,55-59,2025,"164,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,60-64,2020,"120,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,60-64,2025,"137,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,65-69,2020,"99,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,65-69,2025,"111,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,70-74,2020,"77,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,70-74,2025,"88,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,75-79,2020,"57,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,75-79,2025,"64,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,80-84,2020,"37,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,80-84,2025,"42,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,85-89,2020,"19,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,85-89,2025,"22,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,90-94,2020,"8,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,90-94,2025,"8,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,95-99,2020,"2,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,95-99,2025,"2,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,100 y más,2020,"0,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",El Salvador,Mujeres,100 y más,2025,"0,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,0-4,2020,"966,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,0-4,2025,"898,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,5-9,2020,"963,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,5-9,2025,"961,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,10-14,2020,"935,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,10-14,2025,"961,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,15-19,2020,"932,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,15-19,2025,"931,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,20-24,2020,"874,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,20-24,2025,"922,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,25-29,2020,"781,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,25-29,2025,"863,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,30-34,2020,"670,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,30-34,2025,"770,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,35-39,2020,"565,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,35-39,2025,"660,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,40-44,2020,"467,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,40-44,2025,"556,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,45-49,2020,"375,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,45-49,2025,"457,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,50-54,2020,"306,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Guatemala,Mujeres,50-54,2025,"363,8","Miles de personas, a mitad del año",,6547
